Bulan,Provinsi,Pertamax,Pertamax Turbo,Pertamax Green,Dexlite,Pertamina Dex,Biosolar Subsidi
Mei,Aceh,12700,13600,,13650,14050,6800
Mei,"Sumut, Sumsel, Jambi, Lampung, Babel",12700,13600,,13650,14050,6800
Mei,"Sumbar, Riau, Kepri, Bengkulu",12950,13900,,13900,14350,6800
Mei,FTZ Batam,11800,12650,,12650,13050,6800
Mei,"DKI, Banten, Jabar, Jateng, DIY, Jatim, Bali",12400,13300,13150,13350,13750,6800
Mei,"NTB, NTT",12400,13300,13150,13350,13750,6800
Mei,"Kalimantan (Barat, Tengah, Timur, Utara, Selatan)",12700,13600,,13650,14050,6800
Mei,Sulawesi (semua),12700,13600,,13650,14050,6800
Mei,Maluku & Malut,12700, ,,13650,,6800
Mei,Papua & Papua Barat,12700,13600,,13650,14050,6800
Juni,Aceh,12400,13350,,13020,13500,6800
Juni,FTZ Sabang,11400,,,11920,,6800
Juni,"Sumut, Sumsel, Jambi, Lampung, Babel",12400,13350,,13020,13500,6800
Juni,"Sumbar, Riau, Kepri, Bengkulu",12700,13600,,13290,13800,6800
Juni,FTZ Batam,11600,12350,,12080,12550,6800
Juni,"DKI, Banten, Jabar, Jateng, DIY, Jatim, Bali, NTB, NTT",12100,13050,12800,12740,13200,6800
Juni,"Kalimantan Barat, Tengah, Timur",12400,13350,,13020,13500,6800
Juni,"Kalimantan Selatan, Utara",12700,13600,,13290,13800,6800
Juni,Sulawesi (semua),12400,13350,,13020,13500,6800
Juni,Maluku & Malut,12400,,,13020,,6800
Juni,Papua & Papua Barat,12400,13350,,13020,13500,6800
Juli,Aceh,12800,13800,,13610,13950,6800
Juli,FTZ Sabang,11800,,,11460,,6800
Juli,"Sumut, Sumsel, Jambi, Lampung, Babel",12800,13800,,13610,13950,6800
Juli,"Sumbar, Riau, Kepri, Bengkulu",12700,13600,,13290,13800,6800
Juli,FTZ Batam,11800,12650,,12650,13050,6800
Juli,"DKI, Banten, Jabar, Jateng, DIY, Jatim, Bali, NTB, NTT",12500,13500,13250,13320,13650,6800
Juli,"Kalimantan Barat, Tengah, Timur, Utara",12800,13800,,13610,13950,6800
Juli,Kalimantan Selatan,13100,14100,,13900,14250,6800
Juli,Sulawesi (semua),12800,13800,,13610,13950,6800
Juli,Maluku & Malut,12400,,,13610,,6800
Juli,Papua & Papua Barat,12800,13800,,13610,13950,6800